gene_symbol,disease,disease_subtype,syndrome,ClinGen_classification,G2P_classification,OMIM_inheritence,G2P_allelic_requirement,ClinGen_mutation_consequence,OMIM_gene_ID,OMIM_disease_name,OMIM_disease_ID,ORPHA_ID,MONDO_ID,G2P_organ_specificity_list,G2P_panel,prev_symbols,hgnc_id,gene_disease_pair_entry_date,share_status,IC_signed_by,ClinGen_pmids,HPO_phenotypes
MAP2K1,RAS,NA,CFC syndrome,Definitive,Confirmed,AD,monoallelic,NA,176872,CARDIOFACIOCUTANEOUS SYNDROME 3,615279,ORPHA:1340  Cardiofaciocutaneous syndrome,MONDO_0014113,NA,Cardiac,"CFC3, MAPKK1, MEK1, MKK1, PRKMK1",HGNC:6840,NA,NA,NA,16439621;19156172;23875798;18413255;17981815;25049390,HP:0002213;HP:0000028;HP:0001642;HP:0001249;HP:0003251;HP:0000478;HP:0006191;HP:0002120;HP:0000343;HP:0002167;HP:0001003;HP:0007440;HP:0010669;HP:0001643;HP:0002299;HP:0001531;HP:0000126;HP:0030680;HP:0002650;HP:0002007;HP:0008872;HP:0000154;HP:0001892;HP:0001654;HP:0008050;HP:0001250;HP:0000637;HP:0000639;HP:0000508;HP:0000974;HP:0008064;HP:0009891;HP:0000975;HP:0001263;HP:0009466;HP:0001639;HP:0001622;HP:0000135;HP:0000280;HP:0001631;HP:0001627;HP:0000256;HP:0000286;HP:0000958;HP:0030084;HP:0002353;HP:0100769;HP:0007565;HP:0000347;HP:0000325;HP:0000391;HP:0004349;HP:0000465;HP:0000316;HP:0001508;HP:0001680;HP:0001004;HP:0002705;HP:0000470;HP:0001156;HP:0001252;HP:0004859;HP:0000176;HP:0000545;HP:0008070;HP:0100840;HP:0002212;HP:0004422;HP:0000368;HP:0001048;HP:0001260;HP:0000767;HP:0000348;HP:0001425;HP:0002751;HP:0008391;HP:0001582;HP:0008897;HP:0040180;HP:0000238;HP:0005280;HP:0002857;HP:0000486;HP:0000915;HP:0000648;HP:0002664;HP:0000218;HP:0000407;HP:0002967;HP:0000400;HP:0000504;HP:0100697;HP:0000006;HP:0000293;HP:0002997;HP:0008357;HP:0012719;HP:0000917;HP:0007392;HP:0200102;HP:0002217;HP:0002046;HP:0001629;HP:0000463;HP:0000476;HP:0002162;HP:0000689;HP:0000914;HP:0000982;HP:0000276;HP:0004322;HP:0000925;HP:0003196;HP:0004841;HP:0000499;HP:0000494;HP:0000962;HP:0011024
MAP2K2,RAS,NA,CFC syndrome,Definitive,Confirmed,AD,monoallelic,NA,601263,CARDIOFACIOCUTANEOUS SYNDROME 4,615280,ORPHA:1340  Cardiofaciocutaneous syndrome,MONDO_0014114,NA,Cardiac,"CFC4, MAPKK2, MEK2, MKK2, PRKMK2",HGNC:6842,NA,NA,NA,16439621;17366577;17704260;18456719;25487361;23875798;20518782;17981815;18413255,HP:0000765;HP:0000391;HP:0002015;HP:0008872;HP:0000276;HP:0001004;HP:0000293;HP:0000499;HP:0009023;HP:0002046;HP:0000504;HP:0001328;HP:0007392;HP:0000508;HP:0008391;HP:0000519;HP:0001249;HP:0001263;HP:0000470;HP:0002079;HP:0030680;HP:0003010;HP:0004322;HP:0002120;HP:0002299;HP:0002213;HP:0200102;HP:0004422;HP:0000975;HP:0001631;HP:0001582;HP:0002857;HP:0000494;HP:0000256;HP:0000982;HP:0000506;HP:0000478;HP:0000028;HP:0001003;HP:0000368;HP:0007440;HP:0008064;HP:0000463;HP:0000486;HP:0000280;HP:0000238;HP:0002162;HP:0100763;HP:0000400;HP:0001639;HP:0001642;HP:0000545;HP:0010669;HP:0009891;HP:0001531;HP:0000766;HP:0011039;HP:0000648;HP:0001654;HP:0002650;HP:0011024;HP:0000316;HP:0002007;HP:0002997;HP:0000286;HP:0001646;HP:0008070;HP:0007565;HP:0000958;HP:0000126;HP:0001260;HP:0030047;HP:0000974;HP:0010438;HP:0100840;HP:0003196;HP:0002167;HP:0005280;HP:0002967;HP:0000609;HP:0012719;HP:0000637;HP:0002353;HP:0000767;HP:0000639;HP:0001048;HP:0000465;HP:0001622;HP:0000271;HP:0000341;HP:0001321;HP:0000218;HP:0000343;HP:0000962;HP:0002223;HP:0000176;HP:0000348;HP:0002217;HP:0006191;HP:0001252
MYH11,HTAAD,NA,NA,Definitive,Confirmed,AD,monoallelic,DN missense mutations and in-frame deletions,160745,"AORTIC ANEURYSM FAMILIAL THORACIC, 4",132900,Familial thoracic aneurysm and dissection (91387); rare disease with thoracic aortic aneurysm and aortic dissection (285014),MONDO_0007568,NA,Cardiac,"AAT4, FAA4, SMHC, SMMHC",HGNC:7569,NA,NA,NA,17666408;21937134;22968129;23099432;27081537;16444274;15998682;17666408;16444274;22511748,HP:0002017;HP:0002705;HP:0005162;HP:0002686;HP:0004950;HP:0012763;HP:0012499;HP:0100775;HP:0002566;HP:0100544;HP:0001763;HP:0001677;HP:0001539;HP:0000965;HP:0004944;HP:0000006;HP:0030680;HP:0002107;HP:0000023;HP:0002616;HP:0012180;HP:0011106;HP:0002650;HP:0000028;HP:0000525;HP:0002647;HP:0005112;HP:0001640;HP:0200146;HP:0001643;HP:0008034;HP:0000822;HP:0000316;HP:0100806;HP:0004959;HP:0003270;HP:0002140;HP:0002875;HP:0100771;HP:0000766;HP:0001297;HP:0012163;HP:0001561;HP:0001537;HP:0000003;HP:0002138;HP:0002326;HP:0000021;HP:0000072;HP:0001659;HP:0001522;HP:0001647;HP:0004942;HP:0002105;HP:0000098;HP:0003549;HP:0004933;HP:0100749;HP:0000978;HP:0001166;HP:0004388;HP:0000278;HP:0011024
MYH7,HCM,NA,NA,Definitive,Confirmed,AD,monoallelic,Missense,160760,"CARDIOMYOPATHY, HYPERTROPHIC, 1",192600,NA,MONDO_0008647,NA,Cardiac,"CMD1S, CMH1, MPD1, MYHCB, SPMD, SPMM",HGNC:7577,NA,NA,NA,1430197;25189259;1975517;2144212;1944483;1552912;15856146;1944483;2144212;1975517;27532257;23798412;1634614;23290139;25209314;8614836,HP:0001425;HP:0030091;HP:0005162;HP:0005110;HP:0010628;HP:0009054;HP:0011808;HP:0000602;HP:0001508;HP:0001680;HP:0000822;HP:0003198;HP:0008994;HP:0002877;HP:0011711;HP:0003700;HP:0002792;HP:0001315;HP:0001763;HP:0003457;HP:0011712;HP:0001761;HP:0003323;HP:0009055;HP:0001288;HP:0002421;HP:0000308;HP:0010505;HP:0004889;HP:0001626;HP:0003029;HP:0004306;HP:0030237;HP:0003547;HP:0001647;HP:0031108;HP:0011916;HP:0011675;HP:0001644;HP:0006510;HP:0000275;HP:0001667;HP:0003121;HP:0003445;HP:0003376;HP:0012378;HP:0002015;HP:0003674;HP:0030680;HP:0100297;HP:0003789;HP:0000006;HP:0008956;HP:0001374;HP:0009129;HP:0002938;HP:0001671;HP:0000276;HP:0003803;HP:0003701;HP:0001622;HP:0005991;HP:0000982;HP:0004420;HP:0003741;HP:0000508;HP:0003394;HP:0000303;HP:0009072;HP:0030148;HP:0003200;HP:0002515;HP:0004322;HP:0003707;HP:0004308;HP:0001430;HP:0001620;HP:0002111;HP:0009031;HP:0003324;HP:0000467;HP:0006467;HP:0002460;HP:0003484;HP:0003828;HP:0011968;HP:0003593;HP:0001385;HP:0001643;HP:0002355;HP:0001283;HP:0030319;HP:0003677;HP:0003307;HP:0001645;HP:0008180;HP:0001319;HP:0003805;HP:0001874;HP:0005180;HP:0003236;HP:0006251;HP:0000407;HP:0003697;HP:0001708;HP:0009058;HP:0030664;HP:0003327;HP:0030682;HP:0003555;HP:0011575;HP:0001634;HP:0003557;HP:0032341;HP:0001436;HP:0003704;HP:0003577;HP:0012507;HP:0000218;HP:0003458;HP:0008800;HP:0003306;HP:0001612;HP:0008316;HP:0003687;HP:0002747;HP:0002093;HP:0001249;HP:0002828;HP:0009053;HP:0002058;HP:0008963;HP:0003755;HP:0100578;HP:0001631;HP:0004696;HP:0004971;HP:0003724;HP:0001558;HP:0003691;HP:0002194;HP:0003326;HP:0011463;HP:0001635;HP:0009027;HP:0009077;HP:0002650;HP:0001290;HP:0001639;HP:0002637;HP:0100295;HP:0000007;HP:0100749;HP:0010316
MYL3,HCM,NA,NA,Definitive,Confirmed,AD,monoallelic,"Missense, splice",160790,"CARDIOMYOPATHY, HYPERTROPHIC, 8",608751,NA,MONDO_0012111,NA,Cardiac,"CMH8, MLC-lV/sb, MLC1SB, MLC1V, VLC1, VLCl",HGNC:7584,NA,NA,NA,8673105;16267253;18409188;26443374;25611685;11174330;12707239;21239446;23426552;26779504;27483260;19035361;25086479;18403758;27532257;21262909;16675844;8417110;9927691;,HP:0001645;HP:0000006;HP:0001962;HP:0002875;HP:0010872;HP:0001723;HP:0031295;HP:0000007;HP:0001695;HP:0001635;HP:0001663;HP:0001712;HP:0001639;HP:0006685
MYLK,HTAAD,NA,NA,Definitive,Confirmed,AD,monoallelic,Nonsense and missense variants with (predicted) LOF,600922,"AORTIC ANEURYSM FAMILIAL THORACIC, 7",613780,Familial thoracic aneurysm and dissection (91387); rare disease with thoracic aortic aneurysm and aortic dissection (285014),MONDO_0013418,NA,Cardiac,"AAT7, KRP, MLCK, MLCK1, MLCK108, MLCK210, MSTP083, MYLK1, smMLCK",HGNC:7590,NA,NA,NA,21055718;26188975;25907466;23362260;23482558;26703474,HP:0004933;HP:0030680;HP:0003549;HP:0001643;HP:0000766;HP:0001640;HP:0002326;HP:0002107;HP:0000278;HP:0200146;HP:0004388;HP:0001677;HP:0000072;HP:0001297;HP:0000822;HP:0002875;HP:0001166;HP:0000003;HP:0000965;HP:0001539;HP:0002705;HP:0005162;HP:0000978;HP:0002017;HP:0002686;HP:0000006;HP:0100544;HP:0004942;HP:0100771;HP:0003270;HP:0002566;HP:0002616;HP:0000098;HP:0011024;HP:0002138;HP:0004959;HP:0011106;HP:0004944;HP:0012499;HP:0001537;HP:0012163;HP:0100775;HP:0002650;HP:0012763;HP:0001522;HP:0100749;HP:0001561;HP:0100806;HP:0001647;HP:0002140;HP:0000525;HP:0002105;HP:0000021;HP:0004950;HP:0001659;HP:0000028;HP:0000316;HP:0002647;HP:0005112;HP:0000023;HP:0001763
MYO6,HCM,LVH,Bilateral hearing loss,Definitive,Confirmed,AD,monoallelic,NA,600970,"DEAFNESS, AUTOSOMAL DOMINANT 22, WITH HYPERTROPHIC CARDIOMYOPATHY, LVH+",606346,NA,MONDO_0011660,NA,Cardiac,"DFNA22, DFNB37",HGNC:7605,NA,NA,NA,25999546;25227905;18348273;11468689;19417007;17204383;27171474,HP:0000006;HP:0000007;HP:0000407;HP:0001751;HP:0000408;HP:0007642;HP:0000510;HP:0008619
NRAS,RAS,NA,Noonan syndrome,Definitive,Confirmed,AD,monoallelic,NA,164790,NOONAN SYNDROME 6,613224,ORPHA:648 Noonan syndrome,MONDO_0013186,NA,Cardiac,"ALPS4, CMNS, N-ras, NCMS, NRAS1, NS6",HGNC:7989,NA,NA,NA,19966803;21263000;22855653;28594414;23875798;21263000,HP:0001357;HP:0000347;HP:0100763;HP:0011675;HP:0000267;HP:0000476;HP:0001000;HP:0001195;HP:0004912;HP:0001876;HP:0000639;HP:0004523;HP:0001522;HP:0100625;HP:0002162;HP:0000465;HP:0011220;HP:0000369;HP:0040198;HP:0007360;HP:0011869;HP:0002205;HP:0003577;HP:0025510;HP:0000232;HP:0002751;HP:0002816;HP:0001596;HP:0002750;HP:0001780;HP:0002861;HP:0012056;HP:0000324;HP:0001642;HP:0003196;HP:0002858;HP:0006753;HP:0002353;HP:0000602;HP:0004415;HP:0010318;HP:0000238;HP:0001250;HP:0003764;HP:0006610;HP:0000269;HP:0000455;HP:0003109;HP:0002671;HP:0006731;HP:0002731;HP:0002665;HP:0002514;HP:0001442;HP:0000768;HP:0001167;HP:0001482;HP:0003745;HP:0002002;HP:0001909;HP:0000463;HP:0006716;HP:0001639;HP:0100827;HP:0000078;HP:0000568;HP:0001973;HP:0000957;HP:0001156;HP:0000589;HP:0030680;HP:0010817;HP:0011073;HP:0001428;HP:0008872;HP:0002974;HP:0002891;HP:0002719;HP:0007957;HP:0000343;HP:0000938;HP:0002757;HP:0000311;HP:0000179;HP:0000286;HP:0000629;HP:0001561;HP:0000508;HP:0002007;HP:0005584;HP:0008064;HP:0000767;HP:0003422;HP:0001028;HP:0000545;HP:0001305;HP:0008070;HP:0012209;HP:0002167;HP:0000293;HP:0000085;HP:0006740;HP:0000750;HP:0009720;HP:0001939;HP:0001260;HP:0001743;HP:0001290;HP:0001744;HP:0001315;HP:0000969;HP:0010702;HP:0000826;HP:0001048;HP:0000995;HP:0007370;HP:0000391;HP:0001004;HP:0000256;HP:0001892;HP:0002240;HP:0001324;HP:0002230;HP:0000478;HP:0010815;HP:0001054;HP:0004422;HP:0000028;HP:0002208;HP:0012311;HP:0000520;HP:0000494;HP:0000612;HP:0000474;HP:0000044;HP:0002650;HP:0011800;HP:0002132;HP:0003396;HP:0000407;HP:0000431;HP:0000337;HP:0000418;HP:0001555;HP:0001263;HP:0007477;HP:0001249;HP:0001252;HP:0007400;HP:0001548;HP:0005600;HP:0006482;HP:0001878;HP:0008069;HP:0000504;HP:0011381;HP:0000316;HP:0000506;HP:0001510;HP:0005603;HP:0001641;HP:0000486;HP:0002212;HP:0000325;HP:0002729;HP:0100242;HP:0002960;HP:0010759;HP:0005280;HP:0000348;HP:0001528;HP:0001053;HP:0004322;HP:0002119;HP:0001928;HP:0001256;HP:0007206;HP:0002664;HP:0001875;HP:0001680;HP:0000218;HP:0001268;HP:0011362;HP:0002859;HP:0032152;HP:0005692;HP:0005523;HP:0000006;HP:0000194;HP:0000989;HP:0001270;HP:0001347;HP:0001010;HP:0100555;HP:0004209;HP:0200022;HP:0006824;HP:0100702;HP:0000368;HP:0000962
PLN,HCM,NA,NA,Definitive,Confirmed,AD,monoallelic,NA,172405,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 18",613874,ORPHA:99739  Rare familial disorder with hypertrophic cardiomyopathy,MONDO_0013475,NA,Cardiac,"CMD1P, CMH18, PLB",HGNC:9080,NA,NA,NA,12705874;12639993;17655857;21167350;17010801;22820313;12610310;22137083;16432188;27532257;8428955;10198197;7641356;11171800;8567978;8062415;9468536;17882530,HP:0005110;HP:0004308;HP:0001712;HP:0000982;HP:0001638;HP:0001644;HP:0000407;HP:0003198;HP:0003457;HP:0003236;HP:0100749;HP:0001874;HP:0001635;HP:0000006;HP:0006673;HP:0100578
PRKAG2,HCM,isolated LVH,PRKAG2 cardiomyompathy,Definitive,Confirmed,AD,monoallelic,NA,602743,"CARDIOMYOPATHY, HYPERTROPHIC, 6",600858,NA,MONDO_0010946,NA,Cardiac,"AAKG, AAKG2, CMH6, H91620p, WPWS",HGNC:9386,NA,NA,NA,23741347;11371514;11827995;19787389;16487706;18403758;15673802;7657794;27532257;28009297;20005292;11112354;12782567;15611370;16339829,HP:0000006;HP:0001638;HP:0005165;HP:0000961;HP:0001635;HP:0001662;HP:0000158;HP:0001297;HP:0002615;HP:0001425;HP:0031318;HP:0003198;HP:0005110;HP:0001962;HP:0006677;HP:0011713;HP:0001640;HP:0200128;HP:0001999;HP:0001678;HP:0100598;HP:0004309;HP:0001541;HP:0001645;HP:0006684;HP:0004757;HP:0001250;HP:0001688;HP:0001716;HP:0001639;HP:0001998;HP:0001670;HP:0004763;HP:0000007
PTPN11,RAS,NA,NSML syndrome,Definitive,Confirmed,AD,monoallelic,NA,176876,LEOPARD SYNDROME 1,151100,ORPHA:500 Noonan syndrome with multiple lentigines,MONDO_0008104,NA,Cardiac,"BPTP3, CFC, JMML, METCDS, NS1, PTP-1D, PTP2C, SH-PTP2, SH-PTP3, SHP2",HGNC:9644,NA,NA,NA,15121796;25917897;12058348;26952712;19864201;21747628;23875798;20308328;16638574;21339643;20493809;,HP:0002240;HP:0000914;HP:0001680;HP:0002617;HP:0001367;HP:0100625;HP:0012569;HP:0000078;HP:0001642;HP:0000144;HP:0001531;HP:0000974;HP:0001643;HP:0010318;HP:0005692;HP:0001633;HP:0000457;HP:0000054;HP:0000431;HP:0007392;HP:0003691;HP:0030084;HP:0000242;HP:0000391;HP:0001252;HP:0000135;HP:0000486;HP:0100777;HP:0002653;HP:0000348;HP:0000768;HP:0000369;HP:0000925;HP:0002208;HP:0001156;HP:0000474;HP:0000520;HP:0000823;HP:0000358;HP:0000407;HP:0001428;HP:0011362;HP:0001425;HP:0004306;HP:0001682;HP:0100697;HP:0001263;HP:0005701;HP:0000767;HP:0000006;HP:0000921;HP:0002167;HP:0002650;HP:0002996;HP:0001928;HP:0002861;HP:0001639;HP:0008724;HP:0000470;HP:0001249;HP:0001743;HP:0001641;HP:0002162;HP:0000494;HP:0000689;HP:0004415;HP:0000179;HP:0000271;HP:0000465;HP:0003251;HP:0000411;HP:0002974;HP:0002967;HP:0008897;HP:0000915;HP:0001629;HP:0001631;HP:0000028;HP:0003298;HP:0000368;HP:0000508;HP:0000912;HP:0100763;HP:0006610;HP:0001634;HP:0008872;HP:0006824;HP:0006695;HP:0100542;HP:0002750;HP:0001256;HP:0100769;HP:0000944;HP:0001511;HP:0008625;HP:0001260;HP:0000286;HP:0001003;HP:0000639;HP:0004859;HP:0000303;HP:0004841;HP:0012209;HP:0004322;HP:0004409;HP:0011381;HP:0011869;HP:0000047;HP:0000175;HP:0009466;HP:0001482;HP:0000917;HP:0000545;HP:0011675;HP:0000347;HP:0011710;HP:0000248;HP:0003006;HP:0000218;HP:0002705;HP:0002863;HP:0010463;HP:0001658;HP:0000316;HP:0001608;HP:0000995;HP:0001709;HP:0004209;HP:0004414;HP:0000325;HP:0001004;HP:0000957;HP:0006487;HP:0007477;HP:0002664;HP:0010885;HP:0000476;HP:0001892;HP:0030680;HP:0000122;HP:0001510;HP:0005655;HP:0008357;HP:0002751;HP:0001480;HP:0011800;HP:0005930;HP:0000044;HP:0001324
PTPN11,RAS,NA,Noonan syndrome,Definitive,Confirmed,AD,monoallelic,NA,176876,LEOPARD SYNDROME 1,151100,ORPHA:500 Noonan syndrome with multiple lentigines,MONDO_0008104,NA,Cardiac,"BPTP3, CFC, JMML, METCDS, NS1, PTP-1D, PTP2C, SH-PTP2, SH-PTP3, SHP2",HGNC:9644,NA,NA,NA,23446178;26817465;11704759;12529711;19795160;25804457;20718194;23875798;28074573;16358218;24736444;15273746;16399795,HP:0002240;HP:0000914;HP:0001680;HP:0002617;HP:0001367;HP:0100625;HP:0012569;HP:0000078;HP:0001642;HP:0000144;HP:0001531;HP:0000974;HP:0001643;HP:0010318;HP:0005692;HP:0001633;HP:0000457;HP:0000054;HP:0000431;HP:0007392;HP:0003691;HP:0030084;HP:0000242;HP:0000391;HP:0001252;HP:0000135;HP:0000486;HP:0100777;HP:0002653;HP:0000348;HP:0000768;HP:0000369;HP:0000925;HP:0002208;HP:0001156;HP:0000474;HP:0000520;HP:0000823;HP:0000358;HP:0000407;HP:0001428;HP:0011362;HP:0001425;HP:0004306;HP:0001682;HP:0100697;HP:0001263;HP:0005701;HP:0000767;HP:0000006;HP:0000921;HP:0002167;HP:0002650;HP:0002996;HP:0001928;HP:0002861;HP:0001639;HP:0008724;HP:0000470;HP:0001249;HP:0001743;HP:0001641;HP:0002162;HP:0000494;HP:0000689;HP:0004415;HP:0000179;HP:0000271;HP:0000465;HP:0003251;HP:0000411;HP:0002974;HP:0002967;HP:0008897;HP:0000915;HP:0001629;HP:0001631;HP:0000028;HP:0003298;HP:0000368;HP:0000508;HP:0000912;HP:0100763;HP:0006610;HP:0001634;HP:0008872;HP:0006824;HP:0006695;HP:0100542;HP:0002750;HP:0001256;HP:0100769;HP:0000944;HP:0001511;HP:0008625;HP:0001260;HP:0000286;HP:0001003;HP:0000639;HP:0004859;HP:0000303;HP:0004841;HP:0012209;HP:0004322;HP:0004409;HP:0011381;HP:0011869;HP:0000047;HP:0000175;HP:0009466;HP:0001482;HP:0000917;HP:0000545;HP:0011675;HP:0000347;HP:0011710;HP:0000248;HP:0003006;HP:0000218;HP:0002705;HP:0002863;HP:0010463;HP:0001658;HP:0000316;HP:0001608;HP:0000995;HP:0001709;HP:0004209;HP:0004414;HP:0000325;HP:0001004;HP:0000957;HP:0006487;HP:0007477;HP:0002664;HP:0010885;HP:0000476;HP:0001892;HP:0030680;HP:0000122;HP:0001510;HP:0005655;HP:0008357;HP:0002751;HP:0001480;HP:0011800;HP:0005930;HP:0000044;HP:0001324
PTPN11,HCM,isolated LVH,Noonan syndrome,Definitive,Confirmed,AD,monoallelic,NA,176876,NOONAN SYNDROME 1,63950,ORPHA:648  Noonan syndrome,MONDO_0008104,NA,Cardiac,"BPTP3, CFC, JMML, METCDS, NS1, PTP-1D, PTP2C, SH-PTP2, SH-PTP3, SHP2",HGNC:9644,NA,NA,NA,23446178;26817465;11704759;12529711;19795160;25804457;20718194;23875798;28074573;16358218;24736444;15273746;16399795,HP:0002240;HP:0000914;HP:0001680;HP:0002617;HP:0001367;HP:0100625;HP:0012569;HP:0000078;HP:0001642;HP:0000144;HP:0001531;HP:0000974;HP:0001643;HP:0010318;HP:0005692;HP:0001633;HP:0000457;HP:0000054;HP:0000431;HP:0007392;HP:0003691;HP:0030084;HP:0000242;HP:0000391;HP:0001252;HP:0000135;HP:0000486;HP:0100777;HP:0002653;HP:0000348;HP:0000768;HP:0000369;HP:0000925;HP:0002208;HP:0001156;HP:0000474;HP:0000520;HP:0000823;HP:0000358;HP:0000407;HP:0001428;HP:0011362;HP:0001425;HP:0004306;HP:0001682;HP:0100697;HP:0001263;HP:0005701;HP:0000767;HP:0000006;HP:0000921;HP:0002167;HP:0002650;HP:0002996;HP:0001928;HP:0002861;HP:0001639;HP:0008724;HP:0000470;HP:0001249;HP:0001743;HP:0001641;HP:0002162;HP:0000494;HP:0000689;HP:0004415;HP:0000179;HP:0000271;HP:0000465;HP:0003251;HP:0000411;HP:0002974;HP:0002967;HP:0008897;HP:0000915;HP:0001629;HP:0001631;HP:0000028;HP:0003298;HP:0000368;HP:0000508;HP:0000912;HP:0100763;HP:0006610;HP:0001634;HP:0008872;HP:0006824;HP:0006695;HP:0100542;HP:0002750;HP:0001256;HP:0100769;HP:0000944;HP:0001511;HP:0008625;HP:0001260;HP:0000286;HP:0001003;HP:0000639;HP:0004859;HP:0000303;HP:0004841;HP:0012209;HP:0004322;HP:0004409;HP:0011381;HP:0011869;HP:0000047;HP:0000175;HP:0009466;HP:0001482;HP:0000917;HP:0000545;HP:0011675;HP:0000347;HP:0011710;HP:0000248;HP:0003006;HP:0000218;HP:0002705;HP:0002863;HP:0010463;HP:0001658;HP:0000316;HP:0001608;HP:0000995;HP:0001709;HP:0004209;HP:0004414;HP:0000325;HP:0001004;HP:0000957;HP:0006487;HP:0007477;HP:0002664;HP:0010885;HP:0000476;HP:0001892;HP:0030680;HP:0000122;HP:0001510;HP:0005655;HP:0008357;HP:0002751;HP:0001480;HP:0011800;HP:0005930;HP:0000044;HP:0001324
RAF1,HCM,isolated LVH,Noonan syndrome,Definitive,Confirmed,AD,monoallelic,NA,164760,NOONAN SYNDROME 5,611553,ORPHA:648 Noonan syndrome,MONDO_0012690,NA,Cardiac,"CMD1NN, CRAF, NS5, Raf-1, c-Raf",HGNC:9829,NA,NA,NA,23877478;24782337;22821648;20052757;17603482;25706034;23613113;17603483;23613113;17603482;21339642;21440552,HP:0011220;HP:0012471;HP:0001658;HP:0001928;HP:0001260;HP:0000391;HP:0100578;HP:0000958;HP:0001874;HP:0002617;HP:0001003;HP:0001482;HP:0000256;HP:0001633;HP:0000347;HP:0000767;HP:0000006;HP:0001249;HP:0000766;HP:0000268;HP:0002162;HP:0006610;HP:0100625;HP:0011381;HP:0000508;HP:0000474;HP:0000179;HP:0001324;HP:0005692;HP:0000144;HP:0000995;HP:0003457;HP:0001004;HP:0000316;HP:0001252;HP:0000974;HP:0000486;HP:0003691;HP:0000431;HP:0001480;HP:0002974;HP:0001641;HP:0002863;HP:0004308;HP:0000369;HP:0006695;HP:0011362;HP:0000639;HP:0001639;HP:0000325;HP:0002861;HP:0004306;HP:0001892;HP:0001511;HP:0001634;HP:0001999;HP:0000494;HP:0001510;HP:0030680;HP:0005280;HP:0000470;HP:0004322;HP:0002212;HP:0002208;HP:0007477;HP:0004209;HP:0003006;HP:0002167;HP:0001644;HP:0003198;HP:0008872;HP:0000768;HP:0002240;HP:0000218;HP:0000154;HP:0003298;HP:0001263;HP:0001156;HP:0000520;HP:0001256;HP:0001653;HP:0010318;HP:0000078;HP:0000912;HP:0001608;HP:0000957;HP:0000044;HP:0000407;HP:0000982;HP:0004415;HP:0000465;HP:0001642;HP:0001631;HP:0000476;HP:0100763;HP:0002750;HP:0011710;HP:0000286;HP:0004414;HP:0007392;HP:0100542;HP:0000271;HP:0000368;HP:0002650;HP:0008625;HP:0000303;HP:0011800;HP:0003236;HP:0001561;HP:0000047;HP:0002967;HP:0011869;HP:0003764;HP:0011675;HP:0000028;HP:0000248;HP:0000348;HP:0001743
RAF1,RAS,NA,Noonan syndrome,Definitive,Confirmed,AD,monoallelic,NA,164760,NOONAN SYNDROME 5,611553,ORPHA:648 Noonan syndrome,MONDO_0012690,NA,Cardiac,"CMD1NN, CRAF, NS5, Raf-1, c-Raf",HGNC:9829,NA,NA,NA,23877478;24782337;22821648;20052757;17603482;25706034;23613113;17603483;23613113;17603482;21339642;21440552,HP:0011220;HP:0012471;HP:0001658;HP:0001928;HP:0001260;HP:0000391;HP:0100578;HP:0000958;HP:0001874;HP:0002617;HP:0001003;HP:0001482;HP:0000256;HP:0001633;HP:0000347;HP:0000767;HP:0000006;HP:0001249;HP:0000766;HP:0000268;HP:0002162;HP:0006610;HP:0100625;HP:0011381;HP:0000508;HP:0000474;HP:0000179;HP:0001324;HP:0005692;HP:0000144;HP:0000995;HP:0003457;HP:0001004;HP:0000316;HP:0001252;HP:0000974;HP:0000486;HP:0003691;HP:0000431;HP:0001480;HP:0002974;HP:0001641;HP:0002863;HP:0004308;HP:0000369;HP:0006695;HP:0011362;HP:0000639;HP:0001639;HP:0000325;HP:0002861;HP:0004306;HP:0001892;HP:0001511;HP:0001634;HP:0001999;HP:0000494;HP:0001510;HP:0030680;HP:0005280;HP:0000470;HP:0004322;HP:0002212;HP:0002208;HP:0007477;HP:0004209;HP:0003006;HP:0002167;HP:0001644;HP:0003198;HP:0008872;HP:0000768;HP:0002240;HP:0000218;HP:0000154;HP:0003298;HP:0001263;HP:0001156;HP:0000520;HP:0001256;HP:0001653;HP:0010318;HP:0000078;HP:0000912;HP:0001608;HP:0000957;HP:0000044;HP:0000407;HP:0000982;HP:0004415;HP:0000465;HP:0001642;HP:0001631;HP:0000476;HP:0100763;HP:0002750;HP:0011710;HP:0000286;HP:0004414;HP:0007392;HP:0100542;HP:0000271;HP:0000368;HP:0002650;HP:0008625;HP:0000303;HP:0011800;HP:0003236;HP:0001561;HP:0000047;HP:0002967;HP:0011869;HP:0003764;HP:0011675;HP:0000028;HP:0000248;HP:0000348;HP:0001743
